User_ID,State,Age_Group,Gender,AI_Tool,Usage_Frequency,Purpose
70,Haryana,55+,Other,Copilot,Monthly,Creative Projects
71,Assam,35-44,Female,Copilot,Daily,Education
72,Kerala,25-34,Female,Bard,Weekly,Entertainment
73,Gujarat,18-24,Male,Claude,Daily,Other
74,Assam,55+,Other,DALL·E,Weekly,Education
75,Kerala,45-54,Male,Midjourney,Weekly,Education
76,Uttar Pradesh,35-44,Male,DALL·E,Weekly,Creative Projects
77,Rajasthan,25-34,Female,DALL·E,Daily,Creative Projects
78,Gujarat,18-24,Male,ChatGPT,Rarely,Other
79,Uttar Pradesh,45-54,Male,Copilot,Daily,Creative Projects
80,Telangana,25-34,Male,Midjourney,Monthly,Other
81,Karnataka,55+,Female,DALL·E,Daily,Education
82,Odisha,55+,Male,Midjourney,Weekly,Entertainment
83,Delhi,45-54,Male,DALL·E,Daily,Creative Projects
84,Chhattisgarh,55+,Female,Copilot,Monthly,Other
85,Karnataka,35-44,Female,DALL·E,Weekly,Creative Projects
86,Bihar,45-54,Female,Bard,Daily,Creative Projects
87,Bihar,55+,Other,Copilot,Daily,Work
88,Uttar Pradesh,18-24,Female,Midjourney,Weekly,Education
89,Madhya Pradesh,55+,Other,Runway,Daily,Creative Projects
90,Andhra Pradesh,35-44,Female,Claude,Monthly,Entertainment
91,Rajasthan,25-34,Female,DALL·E,Weekly,Work
92,Gujarat,25-34,Female,Bard,Monthly,Other
93,Rajasthan,55+,Other,Copilot,Never,Other
94,Gujarat,25-34,Male,ChatGPT,Weekly,Entertainment
95,Karnataka,55+,Female,Runway,Rarely,Entertainment
96,Telangana,35-44,Other,Runway,Rarely,Education
97,Maharashtra,25-34,Female,Copilot,Never,Entertainment
98,Uttar Pradesh,18-24,Male,Other,Daily,Other
99,Punjab,55+,Other,Runway,Rarely,Education
100,Madhya Pradesh,25-34,Female,Midjourney,Never,Entertainment
101,Bihar,35-44,Female,Midjourney,Weekly,Entertainment
102,Telangana,35-44,Female,ChatGPT,Weekly,Other
103,Karnataka,18-24,Male,Bard,Never,Education
104,Bihar,35-44,Other,Midjourney,Monthly,Work
105,Uttar Pradesh,35-44,Female,Bard,Weekly,Work
106,Bihar,25-34,Female,Bard,Rarely,Education
107,Madhya Pradesh,55+,Other,Copilot,Weekly,Entertainment
108,Assam,45-54,Male,Bard,Daily,Entertainment
109,Jharkhand,35-44,Male,DALL·E,Weekly,Education
110,Bihar,35-44,Male,Other,Monthly,Work
111,Uttar Pradesh,45-54,Male,Midjourney,Rarely,Creative Projects
112,Madhya Pradesh,35-44,Male,Midjourney,Weekly,Other
113,Jharkhand,25-34,Female,Claude,Rarely,Education
114,Rajasthan,25-34,Female,Runway,Weekly,Creative Projects
115,Gujarat,45-54,Female,Bard,Monthly,Other
116,Assam,35-44,Other,Claude,Daily,Creative Projects
117,Assam,35-44,Male,Copilot,Weekly,Creative Projects
118,Andhra Pradesh,55+,Other,Claude,Rarely,Other
119,Kerala,35-44,Male,Runway,Daily,Creative Projects
120,Delhi,25-34,Male,Bard,Rarely,Work
121,Rajasthan,18-24,Other,Other,Daily,Education
122,Chhattisgarh,18-24,Female,Runway,Daily,Work
123,Jammu and Kashmir,18-24,Other,Midjourney,Daily,Work
124,West Bengal,18-24,Female,Other,Monthly,Other
125,Madhya Pradesh,35-44,Male,Copilot,Daily,Other
126,Rajasthan,35-44,Female,Bard,Monthly,Other
127,Kerala,55+,Male,Other,Monthly,Creative Projects
128,Assam,35-44,Male,Other,Weekly,Creative Projects
129,Odisha,18-24,Female,Other,Weekly,Education
130,West Bengal,45-54,Male,Other,Weekly,Creative Projects
131,Kerala,45-54,Female,Other,Never,Education
132,Rajasthan,25-34,Other,Other,Weekly,Work
133,Delhi,25-34,Male,Copilot,Daily,Education
134,Maharashtra,35-44,Male,ChatGPT,Weekly,Education
135,Andhra Pradesh,45-54,Other,Other,Monthly,Other
136,Kerala,18-24,Male,Bard,Monthly,Creative Projects
137,Tamil Nadu,18-24,Other,ChatGPT,Never,Entertainment
138,Telangana,18-24,Other,Other,Rarely,Entertainment
139,Telangana,35-44,Male,Claude,Daily,Other
140,Jammu and Kashmir,35-44,Other,Bard,Weekly,Work
141,Odisha,55+,Other,ChatGPT,Monthly,Work
142,Rajasthan,18-24,Other,DALL·E,Never,Work
143,Uttar Pradesh,18-24,Male,Midjourney,Weekly,Education
144,Uttar Pradesh,35-44,Other,Claude,Weekly,Creative Projects
145,Jammu and Kashmir,35-44,Female,Bard,Rarely,Work
146,Kerala,55+,Female,Bard,Weekly,Entertainment
147,Gujarat,55+,Other,Midjourney,Weekly,Education
148,Bihar,25-34,Female,Midjourney,Never,Work
149,Rajasthan,45-54,Male,Runway,Rarely,Work
150,Tamil Nadu,18-24,Other,Other,Daily,Creative Projects
151,Karnataka,18-24,Male,ChatGPT,Weekly,Creative Projects
152,Gujarat,55+,Female,ChatGPT,Weekly,Education
153,Madhya Pradesh,55+,Female,ChatGPT,Never,Entertainment
154,Uttar Pradesh,25-34,Female,Runway,Never,Other
155,Delhi,45-54,Female,Other,Rarely,Entertainment
156,Andhra Pradesh,25-34,Male,Copilot,Weekly,Creative Projects
157,Telangana,45-54,Other,Claude,Daily,Creative Projects
158,Assam,18-24,Male,Other,Monthly,Other
159,Gujarat,25-34,Other,Bard,Weekly,Entertainment
160,Jammu and Kashmir,55+,Female,Claude,Monthly,Entertainment
161,Chhattisgarh,25-34,Female,Midjourney,Monthly,Other
162,Chhattisgarh,25-34,Female,Other,Weekly,Creative Projects
163,Jammu and Kashmir,18-24,Female,DALL·E,Never,Education
164,Telangana,55+,Male,Claude,Daily,Entertainment
165,Rajasthan,55+,Other,Claude,Monthly,Work
166,Maharashtra,35-44,Other,ChatGPT,Weekly,Entertainment
167,Bihar,35-44,Female,Midjourney,Monthly,Entertainment
168,Chhattisgarh,35-44,Male,Claude,Monthly,Entertainment
169,Madhya Pradesh,18-24,Female,Bard,Daily,Creative Projects
170,Chhattisgarh,25-34,Other,ChatGPT,Daily,Work
171,Chhattisgarh,55+,Other,Runway,Daily,Entertainment
172,Chhattisgarh,55+,Male,Claude,Daily,Education
173,Maharashtra,25-34,Other,Midjourney,Monthly,Work
174,Maharashtra,55+,Male,Other,Daily,Other
175,Madhya Pradesh,25-34,Female,DALL·E,Weekly,Education
176,Uttar Pradesh,18-24,Female,Other,Daily,Other
177,Uttar Pradesh,18-24,Male,Other,Monthly,Entertainment
178,Delhi,18-24,Female,Bard,Monthly,Creative Projects
179,Maharashtra,25-34,Male,DALL·E,Weekly,Entertainment
180,Telangana,25-34,Female,Midjourney,Monthly,Entertainment
181,Tamil Nadu,45-54,Female,Midjourney,Rarely,Other
182,West Bengal,55+,Other,Midjourney,Daily,Entertainment
183,Odisha,55+,Other,DALL·E,Monthly,Education
184,Chhattisgarh,45-54,Male,Copilot,Weekly,Creative Projects
185,Tamil Nadu,45-54,Female,Bard,Daily,Other
186,Madhya Pradesh,18-24,Female,Midjourney,Weekly,Work
187,Jammu and Kashmir,45-54,Female,Copilot,Daily,Entertainment
188,Maharashtra,25-34,Other,ChatGPT,Rarely,Other
189,Tamil Nadu,35-44,Male,Copilot,Daily,Entertainment
190,Odisha,25-34,Male,ChatGPT,Daily,Entertainment
191,Punjab,45-54,Male,DALL·E,Weekly,Other
192,Punjab,55+,Female,Runway,Monthly,Education
193,Uttar Pradesh,25-34,Male,Runway,Monthly,Work
194,Gujarat,55+,Other,Copilot,Daily,Entertainment
195,Tamil Nadu,25-34,Other,DALL·E,Rarely,Education
196,Punjab,55+,Male,Midjourney,Never,Entertainment
197,Bihar,25-34,Female,Copilot,Weekly,Entertainment
198,Jammu and Kashmir,55+,Other,Copilot,Rarely,Education
199,West Bengal,35-44,Other,Midjourney,Weekly,Entertainment
200,Delhi,18-24,Female,ChatGPT,Daily,Work
201,Bihar,25-34,Female,Midjourney,Weekly,Other
202,Delhi,35-44,Male,Bard,Daily,Education
203,Jammu and Kashmir,18-24,Other,Runway,Never,Creative Projects
204,Rajasthan,25-34,Other,Other,Daily,Entertainment
205,Jammu and Kashmir,35-44,Male,Other,Monthly,Other
206,Gujarat,35-44,Male,Runway,Daily,Work
207,Uttar Pradesh,35-44,Other,Copilot,Monthly,Work
208,Karnataka,45-54,Other,Bard,Daily,Creative Projects
209,Rajasthan,55+,Female,Midjourney,Rarely,Work
210,Haryana,18-24,Female,Runway,Daily,Other
211,Karnataka,55+,Other,DALL·E,Rarely,Creative Projects
212,Uttar Pradesh,55+,Other,Midjourney,Rarely,Education
213,Odisha,55+,Female,Claude,Monthly,Creative Projects
214,Haryana,35-44,Male,Bard,Daily,Education
215,Andhra Pradesh,55+,Male,Runway,Daily,Work
216,Bihar,45-54,Other,Claude,Rarely,Other
217,Rajasthan,25-34,Other,Bard,Daily,Entertainment
218,Punjab,35-44,Female,Other,Daily,Creative Projects
219,Punjab,18-24,Other,DALL·E,Weekly,Work
220,Jammu and Kashmir,25-34,Male,Claude,Daily,Other
221,Chhattisgarh,25-34,Female,Claude,Daily,Entertainment
222,Maharashtra,25-34,Female,Bard,Monthly,Creative Projects
223,Uttar Pradesh,55+,Male,Midjourney,Weekly,Other
224,Punjab,55+,Male,ChatGPT,Daily,Work
225,Telangana,35-44,Female,Midjourney,Weekly,Creative Projects
226,Madhya Pradesh,55+,Other,ChatGPT,Weekly,Creative Projects
227,Madhya Pradesh,55+,Male,Bard,Monthly,Education
228,Gujarat,55+,Female,Copilot,Daily,Education
229,Gujarat,35-44,Other,Midjourney,Monthly,Creative Projects
230,Bihar,35-44,Other,Claude,Weekly,Other
231,Delhi,45-54,Female,Midjourney,Weekly,Work
232,Punjab,45-54,Male,Other,Daily,Entertainment
233,Punjab,45-54,Other,Bard,Daily,Education
234,Bihar,45-54,Male,Other,Rarely,Work
235,Jammu and Kashmir,25-34,Female,Copilot,Weekly,Creative Projects
236,Uttar Pradesh,25-34,Male,Copilot,Monthly,Work
237,Jammu and Kashmir,45-54,Other,Midjourney,Never,Work
238,Odisha,45-54,Female,Midjourney,Monthly,Work
239,Chhattisgarh,18-24,Other,Other,Weekly,Creative Projects
240,Karnataka,25-34,Other,DALL·E,Daily,Education
241,West Bengal,18-24,Female,Midjourney,Never,Entertainment
242,Tamil Nadu,18-24,Female,Bard,Monthly,Other
243,Karnataka,55+,Male,ChatGPT,Monthly,Education
244,Jammu and Kashmir,35-44,Female,DALL·E,Weekly,Entertainment
245,Bihar,25-34,Male,ChatGPT,Rarely,Creative Projects
246,Punjab,45-54,Female,Other,Monthly,Entertainment
247,Bihar,45-54,Other,Claude,Daily,Creative Projects
248,Haryana,35-44,Male,Runway,Monthly,Entertainment
249,Jharkhand,25-34,Female,Bard,Weekly,Education
250,Haryana,45-54,Male,DALL·E,Daily,Creative Projects
251,Maharashtra,45-54,Male,Other,Rarely,Work
252,Bihar,55+,Male,Copilot,Daily,Creative Projects
253,Punjab,18-24,Other,DALL·E,Weekly,Creative Projects
254,Gujarat,45-54,Female,Claude,Weekly,Entertainment
255,West Bengal,25-34,Female,Copilot,Weekly,Creative Projects
256,Uttar Pradesh,35-44,Male,DALL·E,Weekly,Entertainment
257,West Bengal,55+,Female,Other,Never,Education
258,Uttar Pradesh,25-34,Other,Copilot,Weekly,Creative Projects
259,Jharkhand,55+,Male,Midjourney,Daily,Work
260,Punjab,18-24,Other,Copilot,Monthly,Work
261,Jammu and Kashmir,45-54,Other,DALL·E,Daily,Education
262,Karnataka,25-34,Female,Copilot,Daily,Work
263,Rajasthan,35-44,Female,Bard,Daily,Entertainment
264,Bihar,18-24,Male,Midjourney,Daily,Creative Projects
265,Chhattisgarh,18-24,Other,Midjourney,Weekly,Other
266,Uttar Pradesh,55+,Female,Claude,Weekly,Creative Projects
267,Punjab,18-24,Male,Midjourney,Daily,Creative Projects
268,Telangana,25-34,Male,ChatGPT,Rarely,Other
269,Delhi,55+,Female,Bard,Daily,Work
270,Jharkhand,18-24,Other,Claude,Never,Work
271,Tamil Nadu,35-44,Male,ChatGPT,Monthly,Creative Projects
272,Tamil Nadu,25-34,Female,Copilot,Daily,Work
273,Kerala,35-44,Male,Runway,Never,Entertainment
274,Delhi,35-44,Female,ChatGPT,Weekly,Entertainment
275,Karnataka,55+,Male,Claude,Weekly,Other
276,Maharashtra,45-54,Other,Midjourney,Daily,Creative Projects
277,Uttar Pradesh,55+,Male,Bard,Monthly,Entertainment
278,Assam,25-34,Female,Runway,Weekly,Education
279,Uttar Pradesh,25-34,Female,Claude,Daily,Work
280,Madhya Pradesh,55+,Female,ChatGPT,Daily,Creative Projects
281,Punjab,45-54,Other,Runway,Monthly,Entertainment
282,Delhi,55+,Female,ChatGPT,Daily,Other
283,West Bengal,25-34,Female,Other,Daily,Entertainment
284,Bihar,45-54,Other,Claude,Weekly,Education
285,Chhattisgarh,25-34,Female,Runway,Rarely,Entertainment
286,Chhattisgarh,45-54,Female,DALL·E,Daily,Creative Projects
287,Telangana,45-54,Other,DALL·E,Daily,Other
288,Jharkhand,55+,Male,Claude,Rarely,Other
289,Tamil Nadu,55+,Female,DALL·E,Daily,Education
290,Bihar,55+,Male,Claude,Monthly,Creative Projects
291,Gujarat,45-54,Other,Midjourney,Never,Education
292,Madhya Pradesh,45-54,Female,Runway,Rarely,Education
293,Chhattisgarh,25-34,Female,Claude,Daily,Education
294,Jharkhand,35-44,Other,Copilot,Weekly,Entertainment
295,Bihar,55+,Female,Bard,Daily,Work
296,Uttar Pradesh,25-34,Male,Bard,Never,Entertainment
297,Jammu and Kashmir,25-34,Male,Copilot,Never,Creative Projects
298,Uttar Pradesh,18-24,Other,ChatGPT,Daily,Education
299,Bihar,55+,Female,ChatGPT,Monthly,Education
300,Haryana,25-34,Female,ChatGPT,Rarely,Work
301,Andhra Pradesh,18-24,Other,Other,Daily,Other
302,Bihar,55+,Male,Runway,Daily,Education
303,Karnataka,45-54,Male,ChatGPT,Daily,Entertainment
304,Jharkhand,18-24,Other,Midjourney,Weekly,Education
305,Haryana,45-54,Female,Copilot,Rarely,Creative Projects
306,Assam,35-44,Male,Bard,Never,Work
307,Maharashtra,35-44,Female,Copilot,Daily,Other
308,Andhra Pradesh,35-44,Male,Bard,Daily,Creative Projects
309,Maharashtra,35-44,Female,ChatGPT,Weekly,Entertainment
310,Chhattisgarh,25-34,Male,Midjourney,Rarely,Creative Projects
311,Karnataka,35-44,Female,Claude,Monthly,Education
312,Uttar Pradesh,25-34,Other,Claude,Weekly,Work
313,Gujarat,25-34,Male,DALL·E,Monthly,Education
314,Odisha,55+,Other,ChatGPT,Daily,Work
315,Punjab,25-34,Male,ChatGPT,Weekly,Entertainment
316,Rajasthan,25-34,Male,Copilot,Never,Creative Projects
317,Andhra Pradesh,35-44,Male,Midjourney,Daily,Work
318,Bihar,25-34,Female,Midjourney,Weekly,Creative Projects
319,Haryana,45-54,Male,Other,Daily,Work
320,Kerala,35-44,Other,Copilot,Weekly,Education
321,Rajasthan,18-24,Female,Midjourney,Monthly,Work
322,West Bengal,35-44,Female,Runway,Monthly,Work
323,Kerala,25-34,Male,Runway,Rarely,Other
324,Jammu and Kashmir,45-54,Female,Midjourney,Weekly,Entertainment
325,Uttar Pradesh,35-44,Male,Runway,Weekly,Education
326,Karnataka,45-54,Other,Other,Daily,Education
327,Jharkhand,18-24,Female,Claude,Rarely,Creative Projects
328,Punjab,18-24,Female,Midjourney,Daily,Work
329,Jharkhand,55+,Other,Runway,Rarely,Work
330,Telangana,55+,Other,ChatGPT,Daily,Work
331,Delhi,35-44,Male,Claude,Daily,Education
332,Assam,55+,Female,ChatGPT,Daily,Other
333,Maharashtra,45-54,Other,ChatGPT,Never,Creative Projects
334,Maharashtra,55+,Female,Runway,Weekly,Work
335,Delhi,45-54,Other,Runway,Daily,Other
336,Chhattisgarh,55+,Female,Copilot,Daily,Entertainment
337,Jammu and Kashmir,55+,Other,DALL·E,Weekly,Education
338,Andhra Pradesh,55+,Female,Midjourney,Daily,Entertainment
339,Tamil Nadu,25-34,Male,Midjourney,Weekly,Education
340,Assam,25-34,Female,Midjourney,Daily,Creative Projects
341,Odisha,55+,Male,Midjourney,Weekly,Entertainment
342,Madhya Pradesh,45-54,Male,Runway,Daily,Creative Projects
343,Uttar Pradesh,35-44,Male,Claude,Weekly,Creative Projects
344,Karnataka,18-24,Female,Bard,Monthly,Creative Projects
345,Telangana,25-34,Female,ChatGPT,Daily,Entertainment
346,Telangana,55+,Male,DALL·E,Weekly,Entertainment
347,Madhya Pradesh,18-24,Other,Other,Weekly,Entertainment
348,Rajasthan,25-34,Female,DALL·E,Daily,Work
349,West Bengal,35-44,Female,Bard,Monthly,Creative Projects
350,Tamil Nadu,45-54,Female,Other,Monthly,Work
351,Kerala,55+,Female,Other,Monthly,Education
352,Jammu and Kashmir,35-44,Male,Bard,Daily,Entertainment
353,Assam,25-34,Other,Other,Daily,Other
354,Bihar,55+,Other,Bard,Daily,Education
355,Karnataka,18-24,Other,Runway,Weekly,Creative Projects
356,Jammu and Kashmir,45-54,Other,Claude,Weekly,Creative Projects
357,Punjab,25-34,Male,Bard,Weekly,Work
358,Kerala,45-54,Female,Other,Rarely,Entertainment
359,Haryana,55+,Female,Other,Daily,Entertainment
360,Andhra Pradesh,35-44,Male,Claude,Never,Education
361,Delhi,45-54,Female,Runway,Daily,Education
362,Chhattisgarh,18-24,Male,Copilot,Rarely,Education
363,Delhi,25-34,Other,Other,Weekly,Other
364,Madhya Pradesh,18-24,Male,Other,Rarely,Other
365,Gujarat,45-54,Female,Copilot,Daily,Creative Projects
366,Telangana,35-44,Female,DALL·E,Weekly,Creative Projects
367,Uttar Pradesh,35-44,Female,Copilot,Weekly,Creative Projects
368,Uttar Pradesh,18-24,Other,Claude,Never,Entertainment
369,Assam,55+,Male,Claude,Never,Creative Projects
370,Maharashtra,55+,Male,ChatGPT,Daily,Work
371,Punjab,35-44,Female,Other,Monthly,Education
372,Karnataka,18-24,Male,Bard,Weekly,Entertainment
373,Kerala,18-24,Female,Midjourney,Daily,Other
374,Uttar Pradesh,18-24,Male,Midjourney,Daily,Education
375,Punjab,45-54,Other,Bard,Never,Creative Projects
376,Rajasthan,55+,Other,Midjourney,Weekly,Other
377,Madhya Pradesh,55+,Male,Midjourney,Daily,Other
378,Bihar,45-54,Other,Runway,Daily,Other
379,Telangana,25-34,Other,Midjourney,Daily,Education
380,Punjab,45-54,Other,DALL·E,Weekly,Entertainment
381,Delhi,18-24,Female,Other,Weekly,Education
382,Madhya Pradesh,45-54,Male,Other,Weekly,Work
383,Jharkhand,18-24,Male,Other,Daily,Creative Projects
384,Madhya Pradesh,35-44,Female,Claude,Weekly,Entertainment
385,Assam,18-24,Female,Claude,Daily,Entertainment
386,Chhattisgarh,55+,Other,Claude,Rarely,Creative Projects
387,Jharkhand,45-54,Male,Bard,Daily,Work
388,Jammu and Kashmir,18-24,Female,Copilot,Rarely,Other
389,Madhya Pradesh,25-34,Other,DALL·E,Weekly,Creative Projects
390,Telangana,35-44,Male,DALL·E,Weekly,Other
391,Punjab,25-34,Other,Midjourney,Daily,Creative Projects
392,Punjab,25-34,Male,Other,Monthly,Education
393,Rajasthan,25-34,Other,ChatGPT,Rarely,Work
394,West Bengal,35-44,Male,Claude,Daily,Work
395,Uttar Pradesh,35-44,Male,Runway,Daily,Creative Projects
396,Madhya Pradesh,35-44,Male,DALL·E,Monthly,Work
397,Andhra Pradesh,35-44,Male,DALL·E,Daily,Other
398,Madhya Pradesh,25-34,Other,ChatGPT,Monthly,Work
399,West Bengal,55+,Female,Midjourney,Daily,Work
400,Maharashtra,55+,Male,DALL·E,Monthly,Work
401,Jammu and Kashmir,35-44,Male,Other,Weekly,Entertainment
402,Andhra Pradesh,45-54,Male,DALL·E,Daily,Creative Projects
403,Delhi,18-24,Male,Copilot,Monthly,Education
404,Uttar Pradesh,45-54,Other,ChatGPT,Weekly,Education
405,Madhya Pradesh,45-54,Female,Runway,Daily,Entertainment
406,Kerala,45-54,Female,Runway,Weekly,Entertainment
407,West Bengal,55+,Female,Midjourney,Weekly,Education
408,Punjab,18-24,Other,Midjourney,Daily,Other
409,Punjab,45-54,Female,Claude,Never,Education
410,Maharashtra,35-44,Other,Copilot,Monthly,Education
411,Chhattisgarh,55+,Other,Midjourney,Daily,Creative Projects
412,Jammu and Kashmir,35-44,Male,Other,Rarely,Education
413,Telangana,35-44,Other,Copilot,Weekly,Education
414,Haryana,45-54,Female,Claude,Monthly,Work
415,Bihar,35-44,Female,Other,Daily,Entertainment
416,Uttar Pradesh,18-24,Female,Runway,Monthly,Education
417,Uttar Pradesh,35-44,Male,ChatGPT,Monthly,Education
418,Delhi,45-54,Male,DALL·E,Monthly,Other
419,Odisha,35-44,Male,DALL·E,Daily,Education
420,Madhya Pradesh,55+,Other,Bard,Daily,Creative Projects
421,Telangana,55+,Female,Bard,Weekly,Other
422,Bihar,55+,Other,Bard,Daily,Education
423,Uttar Pradesh,25-34,Other,DALL·E,Weekly,Creative Projects
424,Uttar Pradesh,55+,Female,Copilot,Monthly,Entertainment
425,Karnataka,55+,Male,Other,Rarely,Education
426,Andhra Pradesh,25-34,Female,Bard,Weekly,Entertainment
427,Odisha,55+,Other,ChatGPT,Daily,Education
428,Telangana,45-54,Other,Midjourney,Rarely,Other
429,Kerala,55+,Male,Other,Rarely,Other
430,Telangana,55+,Other,Copilot,Weekly,Creative Projects
431,Jharkhand,25-34,Other,DALL·E,Daily,Work
432,Maharashtra,45-54,Female,ChatGPT,Monthly,Creative Projects
433,Delhi,35-44,Male,Runway,Rarely,Education
434,Haryana,18-24,Female,DALL·E,Daily,Entertainment
435,Bihar,45-54,Female,Copilot,Monthly,Entertainment
436,Chhattisgarh,35-44,Female,Copilot,Monthly,Education
437,Karnataka,45-54,Other,Copilot,Weekly,Work
438,Andhra Pradesh,35-44,Other,Claude,Monthly,Work
439,Maharashtra,35-44,Male,Midjourney,Weekly,Work
440,Delhi,45-54,Other,Other,Monthly,Education
441,Gujarat,25-34,Male,Bard,Weekly,Other
442,Rajasthan,45-54,Female,Claude,Daily,Other
443,West Bengal,45-54,Female,Midjourney,Monthly,Education
444,Haryana,35-44,Other,DALL·E,Monthly,Other
445,Kerala,18-24,Other,Bard,Never,Work
446,Odisha,35-44,Male,Runway,Weekly,Other
447,West Bengal,55+,Other,Claude,Daily,Education
448,West Bengal,45-54,Other,Claude,Never,Other
449,Andhra Pradesh,45-54,Other,Other,Monthly,Other
450,Madhya Pradesh,25-34,Female,ChatGPT,Never,Other
451,Gujarat,35-44,Other,Other,Daily,Other
452,Bihar,25-34,Other,Runway,Weekly,Education
453,Chhattisgarh,45-54,Female,Runway,Daily,Creative Projects
454,Bihar,35-44,Female,Claude,Rarely,Other
455,Punjab,35-44,Female,Copilot,Rarely,Creative Projects
456,West Bengal,55+,Female,DALL·E,Weekly,Education
457,Haryana,55+,Other,Runway,Daily,Entertainment
458,Chhattisgarh,18-24,Other,Other,Daily,Creative Projects
459,Rajasthan,55+,Other,Claude,Monthly,Education
460,Madhya Pradesh,35-44,Male,Copilot,Weekly,Entertainment
461,Telangana,55+,Female,Midjourney,Monthly,Other
462,Chhattisgarh,18-24,Other,Midjourney,Weekly,Education
463,Kerala,45-54,Other,Other,Weekly,Work
464,Bihar,55+,Other,Runway,Daily,Entertainment
465,Gujarat,35-44,Female,Copilot,Monthly,Work
466,Chhattisgarh,45-54,Female,ChatGPT,Weekly,Other
467,Chhattisgarh,35-44,Female,Other,Never,Other
468,Jammu and Kashmir,45-54,Other,ChatGPT,Monthly,Creative Projects
469,Punjab,35-44,Female,Midjourney,Weekly,Other
470,Kerala,55+,Other,DALL·E,Daily,Creative Projects
471,Delhi,55+,Male,Claude,Never,Entertainment
